,Year,Type,Area,Gender,Species
404,2015,Unprovoked,South Carolina,Male,4' shark
405,2015,Provoked,Western Australia,Male,Wobbegong shark
406,2015,Unprovoked,North Carolina,Male,Unidentified Species
407,2015,Unprovoked,North Carolina,Male,Sandtiger shark
408,2015,Arbitrary incident,Western Australia,Female,White shark
409,2015,Unprovoked,South Carolina,Male,small shark
410,2015,Unprovoked,Non-Registered Area,Male,Unidentified Species
411,2015,Unprovoked,Florida,Male,Unidentified Species
412,2015,Unprovoked,North Carolina,Male,Bull shark
413,2015,Unprovoked,North Carolina,Female,Bull shark
414,2015,Unprovoked,California,Female,Mako shark
415,2015,Unprovoked,North Carolina,Female,4' shark
416,2015,Unprovoked,Florida,Male,"Bull shark, 5'"
417,2015,Unprovoked,Florida,Female,small nurse shark
418,2015,Unprovoked,Le Port,Male,"Bull shark, 2.5 m"
419,2015,Unprovoked,Florida,Female,Unidentified Species
420,2015,Unprovoked,Florida,Female,Unidentified Species
421,2015,Unprovoked,Rangiroa,Male,1m to 1.2 m shark
422,2015,Unprovoked,Florida,Female,Unidentified Species
423,2015,Unprovoked,Florida,Male,5' shark
424,2015,Unprovoked,South Carolina,Male,6' shark
425,2015,Unprovoked,Non-Registered Area,Male,"Bull shark, 3.5 m"
426,2015,Unprovoked,Florida,Male,Unidentified Species
427,2015,Unprovoked,New South Wales,Male,White shark
428,2015,Unprovoked,Eastern Cape Province,Male,"White shark, 3.5 m"
429,2015,Unprovoked,Hawaii,Female,Unidentified Species
430,2015,Unprovoked,Florida,Male,3- to 4-foot shark
431,2015,Unprovoked,South Australia,Male,"White shark, 6 m"
432,2015,Unprovoked,New South Wales,Male,"White shark, 3 m"
433,2015,Unprovoked,Florida,Male,"Blue shark, 8 to 9 feet"
434,2015,Unprovoked,Saint-Gilles-les-Bains,Male,Bull shark
435,2015,Unprovoked,New South Wales,Male,Unidentified Species
436,2015,Unprovoked,Florida,Male,Bull shark
437,2015,Arbitrary incident,Sardinia,Male,Shark involvement not cofirmed
438,2015,Arbitrary incident,Pernambuco,Male,No shark involvement
439,2015,Boating,Eastern Cape Province,Male,"White shark, 4 m"
440,2015,Unprovoked,Non-Registered Area,Male,Mako shark
441,2015,Unprovoked,Hawaii,Male,"Tiger shark, 8 to 12 feet"
442,2015,Unprovoked,Bora Bora,Male,Blacktip shark
443,2015,Boating,New South Wales,Male,Unidentified Species
444,2015,Provoked,Sinaloa,Male,Unidentified Species
445,2015,Unprovoked,Central Tuamotu,Male,Blacktip Reef shark 
446,2015,Boating,Non-Registered Area,Unrecorded Gender,White shark
447,2015,Unprovoked,d��tang-Sal�,Female,"Tiger shark, 3.5 m"
448,2015,Unprovoked,New South Wales,Male,3.5 to 4 m shark
449,2015,Unprovoked,New South Wales,Male,2 m to  3 m shark
450,2015,Unprovoked,New South Wales,Male,1.8 m shark
451,2015,Boating,Queensland,Male,"Bull shark, 1.3 m"
452,2015,Provoked,Hawaii,Male,4' shark
453,2015,Unprovoked,New South Wales,Male,Unidentified Species
454,2015,Unprovoked,Eastern Cape Province,Male,Unidentified Species
455,2015,Boating,Florida,Male,White shark
456,2015,Arbitrary incident,New South Wales,Female,Shark involvement not confirmed
457,2015,Boating,New South Wales,Male,5 m shark
458,2015,Unprovoked,New South Wales,Male,1.5 m shark
459,2015,Arbitrary incident,Florida,Male,No shark involvement
