,dep,date,month,tx_incid
12719,32,2021-01-15,2021-01,131.55125236792298
12750,32,2021-02-15,2021-02,91.0334666386024
12778,32,2021-03-15,2021-03,66.301831193433
12954,33,2020-08-15,2020-08,20.2639827603095
12985,33,2020-09-15,2020-09,145.765990792438
13015,33,2020-10-15,2020-10,112.33960231168601
13046,33,2020-11-15,2020-11,149.806543246155
13076,33,2020-12-15,2020-12,75.72974826133799
13107,33,2021-01-15,2021-01,158.622294054266
13138,33,2021-02-15,2021-02,115.09452443922
13166,33,2021-03-15,2021-03,166.458516994808
13342,34,2020-08-15,2020-08,40.81129452576
13373,34,2020-09-15,2020-09,100.072695118374
13403,34,2020-10-15,2020-10,246.483214229538
13434,34,2020-11-15,2020-11,228.968366995566
13464,34,2020-12-15,2020-12,75.926012523966
13495,34,2021-01-15,2021-01,174.97842527919602
13526,34,2021-02-15,2021-02,162.224895739896
13554,34,2021-03-15,2021-03,203.03619026565602
13730,35,2020-08-15,2020-08,12.845713736503901
13761,35,2020-09-15,2020-09,95.9269845934609
13791,35,2020-10-15,2020-10,151.930599876348
13822,35,2020-11-15,2020-11,164.314237579165
13852,35,2020-12-15,2020-12,69.0341594328664
13883,35,2021-01-15,2021-01,153.409243184147
13914,35,2021-02-15,2021-02,148.141576400113
13942,35,2021-03-15,2021-03,202.01964192804002
14118,36,2020-08-15,2020-08,8.28962093405607
14149,36,2020-09-15,2020-09,27.632069780186896
14179,36,2020-10-15,2020-10,84.7383473259064
14210,36,2020-11-15,2020-11,239.477938094953
14240,36,2020-12-15,2020-12,101.31758919401899
14271,36,2021-01-15,2021-01,214.14854079644797
14302,36,2021-02-15,2021-02,194.34555745398103
14330,36,2021-03-15,2021-03,121.581107032822
14506,37,2020-08-15,2020-08,14.205953285539698
14537,37,2020-09-15,2020-09,82.0971951501536
14567,37,2020-10-15,2020-10,167.16772936007098
14598,37,2020-11-15,2020-11,186.164062241898
14628,37,2020-12-15,2020-12,82.0971951501536
14659,37,2021-01-15,2021-01,176.913674055965
14690,37,2021-02-15,2021-02,152.301034061251
14718,37,2021-03-15,2021-03,221.513759952427
14894,38,2020-08-15,2020-08,12.885589405041499
14925,38,2020-09-15,2020-09,106.40492846126301
14955,38,2020-10-15,2020-10,408.228120783033
14986,38,2020-11-15,2020-11,506.806832366387
15016,38,2020-12-15,2020-12,211.228803007797
15047,38,2021-01-15,2021-01,192.57236681399502
15078,38,2021-02-15,2021-02,175.73414262213
15106,38,2021-03-15,2021-03,233.83787398842202
15282,39,2020-08-15,2020-08,6.20518210270352
15313,39,2020-09-15,2020-09,29.862438869260696
15343,39,2020-10-15,2020-10,202.05624221928298
15374,39,2020-11-15,2020-11,404.112484438567
15404,39,2020-12-15,2020-12,259.066352787872
15435,39,2021-01-15,2021-01,320.342526052069
15466,39,2021-02-15,2021-02,227.264794511516
15494,39,2021-03-15,2021-03,207.09795267772998
15670,40,2020-08-15,2020-08,4.61188555727355
15701,40,2020-09-15,2020-09,75.0038230103962
15731,40,2020-10-15,2020-10,148.551261107969
15762,40,2020-11-15,2020-11,218.457736923484
15792,40,2020-12-15,2020-12,125.73456414040501
15823,40,2021-01-15,2021-01,162.38691777978997
15854,40,2021-02-15,2021-02,94.66501933350972
15882,40,2021-03-15,2021-03,95.6359426087252
16058,41,2020-08-15,2020-08,10.676102307563301
16089,41,2020-09-15,2020-09,26.842771516159
16119,41,2020-10-15,2020-10,93.94970030655671
16150,41,2020-11-15,2020-11,186.374243140604
16180,41,2020-12-15,2020-12,134.82392056979901
16211,41,2021-01-15,2021-01,131.468574130279
16242,41,2021-02-15,2021-02,148.245306327878
16270,41,2021-03-15,2021-03,234.264187777388
16446,42,2020-08-15,2020-08,14.2532661555541
16477,42,2020-09-15,2020-09,122.65654728357599
16507,42,2020-10-15,2020-10,608.444471759572
16538,42,2020-11-15,2020-11,590.137524403815
16568,42,2020-12-15,2020-12,163.977942743714
16599,42,2021-01-15,2021-01,227.26767503076198
16630,42,2021-02-15,2021-02,183.592529196312
16658,42,2021-03-15,2021-03,229.752189314758
16834,43,2020-08-15,2020-08,5.729370959140769
16865,43,2020-09-15,2020-09,63.9045222365701
16895,43,2020-10-15,2020-10,353.898836937695
16926,43,2020-11-15,2020-11,564.563399896871
16956,43,2020-12-15,2020-12,132.656973746259
16987,43,2021-01-15,2021-01,242.396463655956
17018,43,2021-02-15,2021-02,129.131207002173
17046,43,2021-03-15,2021-03,107.53588569464199
17222,44,2020-08-15,2020-08,15.9344585798014
17253,44,2020-09-15,2020-09,54.6920718066545
17283,44,2020-10-15,2020-10,149.602995399882
17314,44,2020-11-15,2020-11,184.95105198738898
17344,44,2020-12-15,2020-12,56.431641520606604
17375,44,2021-01-15,2021-01,128.58899325533997
17406,44,2021-02-15,2021-02,104.374182837127
17434,44,2021-03-15,2021-03,165.954950711032
17610,45,2020-08-15,2020-08,36.3162441974549
17641,45,2020-09-15,2020-09,71.16812370952859
17671,45,2020-10-15,2020-10,181.874093924351
17702,45,2020-11-15,2020-11,278.96147256512796
17732,45,2020-12-15,2020-12,139.407518048295
17763,45,2021-01-15,2021-01,193.73544787593897
17794,45,2021-02-15,2021-02,144.239921510053
17822,45,2021-03-15,2021-03,190.074536162486
17998,46,2020-08-15,2020-08,6.92976681334673
18029,46,2020-09-15,2020-09,36.9587563378492
18059,46,2020-10-15,2020-10,82.002240624603
18090,46,2020-11-15,2020-11,178.441495443678
18120,46,2020-12-15,2020-12,58.325537345668295
18151,46,2021-01-15,2021-01,107.411385606874
