indic_et,sitc06,partner,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
MIO_IMP_VAL,TOTAL,EU28,HU	50774.9 	38431.6 	45251.7 	51333.9 	52371.7 	54060.4 	59376.0 	63520.2 	65896.0 	72396.6 	76327.2 	78617.5 
MIO_IMP_VAL,TOTAL,EU28,IE	39913.3 	29461.3 	31441.7 	34827.1 	35299.3 	37277.8 	41410.6 	45901.5 	48087.2 	54201.4 	58348.8 	58437.2 
MIO_IMP_VAL,TOTAL,EU28,IT	210166.7 	172234.4 	202870.4 	217243.9 	202805.3 	200167.7 	203890.0 	217390.4 	223337.0 	241564.5 	250718.3 	250677.0 
MIO_IMP_VAL,TOTAL,EU28,LT	12174.0 	7757.2 	9993.5 	12954.8 	14341.4 	15808.8 	16982.1 	17198.7 	17577.3 	20143.9 	21312.8 	21879.1 
MIO_IMP_VAL,TOTAL,EU28,LU	16328.8 	12971.4 	15013.5 	16911.2 	16340.0 	15857.1 	16084.6 	15182.0 	15310.3 	16861.0 	17848.2 	18146.3 
MIO_IMP_VAL,TOTAL,EU28,LV	8292.4 	5311.1 	6713.9 	9087.1 	10483.6 	10761.6 	10892.1 	10528.1 	10492.6 	11815.0 	12493.2 	13118.4 
MIO_IMP_VAL,TOTAL,EU28,MT	2754.5 	2408.3 	2679.3 	3337.2 	3957.5 	3288.2 	3217.9 	3633.4 	3226.9 	3303.3 	4132.8 	4647.1 
MIO_IMP_VAL,TOTAL,EU28,NL	190112.8 	155914.7 	181535.2 	199271.8 	207625.0 	205613.9 	203355.9 	211692.8 	212262.2 	233818.0 	249603.0 	256840.5 
MIO_IMP_VAL,TOTAL,EU28,PL	102110.0 	77855.8 	95137.5 	105934.8 	104926.1 	107822.0 	117266.9 	125324.8 	130547.7 	148326.2 	159480.0 	160632.0 
MIO_IMP_VAL,TOTAL,EU28,PT	48011.1 	40384.0 	44803.9 	43678.9 	40294.1 	41065.5 	44142.6 	46186.0 	47816.0 	53193.9 	57289.2 	61372.7 
MIO_IMP_VAL,TOTAL,EU28,RO	39888.6 	28516.7 	34027.1 	40018.3 	40240.0 	41913.7 	44127.3 	48595.0 	51950.7 	57273.1 	61869.3 	64395.0 
MIO_IMP_VAL,TOTAL,EU28,SE	79259.6 	58428.2 	75357.3 	86722.4 	86151.6 	83264.0 	83986.5 	87356.7 	90592.2 	97592.4 	101201.9 	99637.7 
MIO_IMP_VAL,TOTAL,EU28,SI	18985.2 	14344.4 	16477.6 	18421.9 	17958.8 	17603.8 	17655.9 	18811.8 	19567.2 	22143.0 	24077.5 	24835.3 
MIO_IMP_VAL,TOTAL,EU28,SK	36769.4 	29927.7 	36474.1 	42236.5 	44357.3 	45668.7 	46869.1 	51658.3 	54046.9 	57718.9 	62780.2 	65052.8 
MIO_IMP_VAL,TOTAL,EU28,UK	229698.5 	184398.9 	218337.4 	235545.7 	257688.7 	257551.3 	275389.7 	302831.3 	290556.8 	295399.5 	301329.0 	304230.1 
