indic_et,sitc06,partner,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
MIO_EXP_VAL,TOTAL,EXT_EU28,SI	5483.9 	4308.2 	4937.8 	5661.5 	6257.7 	6444.6 	6696.1 	6924.0 	7334.6 	8255.8 	8887.9 	10605.4 
MIO_EXP_VAL,TOTAL,EXT_EU28,SK	6864.3 	5509.6 	7483.3 	8608.2 	10115.9 	11106.0 	10256.5 	9952.2 	10194.9 	10797.3 	11492.4 	12112.2 
MIO_EXP_VAL,TOTAL,EXT_EU28,UK	142499.4 	114382.6 	148087.1 	181242.3 	182957.9 	229835.0 	198136.8 	230443.5 	194338.4 	204471.8 	218129.4 	225283.9 
MIO_IMP_VAL,TOTAL,EXT_EU28,AT	26733.0 	22131.0 	26437.7 	31145.8 	32668.8 	32276.9 	31755.3 	32690.1 	31315.9 	35322.3 	36747.7 	36379.9 
MIO_IMP_VAL,TOTAL,EXT_EU28,BE	95405.0 	75400.9 	91113.3 	108435.9 	110843.1 	114184.9 	119629.2 	125985.7 	124199.8 	128806.3 	136328.9 	136276.3 
MIO_IMP_VAL,TOTAL,EXT_EU28,BG	10801.8 	6721.4 	7953.0 	9480.3 	10499.2 	10405.3 	10006.1 	9393.5 	8779.9 	10882.0 	11678.7 	12177.1 
MIO_IMP_VAL,TOTAL,EXT_EU28,CY	2312.7 	1542.9 	1909.6 	1917.8 	1749.1 	1403.7 	2137.4 	2311.5 	2392.6 	3200.3 	3889.6 	2737.3 
MIO_IMP_VAL,TOTAL,EXT_EU28,CZ	22235.5 	16458.2 	23908.4 	27699.7 	27072.0 	25163.7 	26263.4 	28971.8 	27436.7 	31723.1 	36725.9 	38179.2 
MIO_IMP_VAL,TOTAL,EXT_EU28,DE	292207.8 	234632.9 	292064.4 	328965.6 	327633.2 	314335.3 	313760.3 	326005.0 	321416.5 	347414.6 	364885.2 	366859.2 
MIO_IMP_VAL,TOTAL,EXT_EU28,DK	21067.7 	17910.6 	18862.9 	20281.8 	21221.8 	21796.6 	22863.9 	23552.8 	22186.9 	24913.3 	26000.8 	25962.2 
MIO_IMP_VAL,TOTAL,EXT_EU28,EE	2199.6 	1425.8 	1872.2 	2957.6 	3122.7 	2493.8 	2517.3 	2406.5 	2465.9 	2799.2 	3793.5 	3527.4 
MIO_IMP_VAL,TOTAL,EXT_EU28,EL	28839.6 	22799.4 	22199.4 	22709.0 	25153.5 	23624.5 	23386.7 	19121.5 	18160.9 	21169.4 	25658.8 	26049.2 
MIO_IMP_VAL,TOTAL,EXT_EU28,ES	116459.4 	79120.7 	101051.5 	116529.3 	120184.1 	114759.6 	115334.5 	110385.3 	107177.5 	125611.3 	136366.9 	138567.0 
MIO_IMP_VAL,TOTAL,EXT_EU28,EU28	1585410.4 	1236474.0 	1529088.9 	1729368.6 	1797798.8 	1687030.8 	1687684.8 	1725313.3 	1706614.5 	1854278.7 	1980248.1 	2053688.0 
MIO_IMP_VAL,TOTAL,EXT_EU28,FI	23677.3 	15246.9 	18581.4 	23287.4 	22124.3 	19702.4 	18413.2 	14730.3 	14825.3 	17673.4 	19861.0 	18863.1 
MIO_IMP_VAL,TOTAL,EXT_EU28,FR	154936.0 	123237.6 	145351.6 	168691.7 	172912.6 	165376.4 	161473.8 	158996.8 	154308.4 	166627.2 	175901.4 	184085.0 
MIO_IMP_VAL,TOTAL,EXT_EU28,HR	7467.6 	5674.4 	6027.4 	6215.9 	6080.3 	5491.4 	4083.0 	4135.8 	4566.0 	4891.5 	5329.5 	5070.5 
MIO_IMP_VAL,TOTAL,EXT_EU28,HU	23293.8 	17318.8 	21262.5 	22257.9 	21706.7 	21319.1 	19602.3 	19427.1 	18932.9 	22760.8 	25933.4 	28415.3 
MIO_IMP_VAL,TOTAL,EXT_EU28,IE	17174.6 	15494.2 	16265.6 	17633.4 	19564.1 	18016.0 	20421.5 	23549.4 	25291.9 	28392.5 	33061.1 	30686.4 
MIO_IMP_VAL,TOTAL,EXT_EU28,IT	171883.5 	125374.2 	164519.4 	184183.8 	177487.2 	160834.5 	153048.8 	153094.0 	144288.8 	159922.7 	175327.4 	172237.4 
MIO_IMP_VAL,TOTAL,EXT_EU28,LT	8970.1 	5365.8 	7659.6 	9870.8 	10537.6 	10398.9 	8907.3 	8200.7 	7160.0 	8372.3 	9629.8 	9938.1 
MIO_IMP_VAL,TOTAL,EXT_EU28,LU	5534.8 	5189.0 	3699.9 	3821.3 	4888.2 	4220.6 	4013.5 	5834.1 	4451.7 	3413.1 	2496.5 	3265.2 
